MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152
L1_0_PINGPONG_4,1.4853,1.4856,1.4748,1.4820,1.4888,1.5842,1.9799,2.0155,2.3793,2.5569,2.7900,3.9732,5.2302,6.7201,9.3532,11.2501,17.3897,28.7434,59.0803,113.3981,231.6469,460.7757
L1_0_PINGPONG_5,1.4928,1.4951,1.4981,1.5077,1.4810,1.5774,1.9811,1.9983,2.4335,2.5413,2.7935,3.9397,5.2225,6.6976,9.4371,12.0620,19.4191,34.3700,64.2639,130.0828,260.5599,526.6630
L1_0_PINGPONG_6,1.4783,1.4713,1.4640,1.4811,1.4801,1.5790,1.9771,1.9968,2.4050,2.5293,2.8072,3.9593,5.2500,6.7461,9.8435,13.3260,21.9740,43.4648,79.7306,155.9494,317.4072,629.1943
L1_0_PINGPONG_7,1.4488,1.4342,1.4613,1.5060,1.4338,1.5197,2.2635,2.3411,2.7653,2.8829,3.2501,4.4696,6.0111,7.5334,10.1119,14.9864,24.6280,46.0761,89.3044,177.9395,370.3952,702.9327
L1_0_PINGPONG_8,1.5489,1.4408,1.4495,1.4644,1.4500,1.5392,2.1085,2.3512,2.7670,5.4579,3.2324,6.7945,6.0703,8.9855,10.8370,15.8466,26.9555,51.5651,100.7572,203.5689,403.0095,785.1387
L1_0_PINGPONG_9,1.4719,1.4704,1.4769,1.4494,1.4581,1.5393,2.1186,2.3529,2.8108,2.9594,3.2804,4.5737,6.0703,10.1617,10.7067,15.7538,28.5628,56.3947,112.7442,234.2590,447.3881,900.3612
L1_0_PINGPONG_10,3.7001,1.4433,1.4450,1.4348,1.4304,1.5151,4.5019,2.3092,2.7537,2.8883,3.2243,6.4125,6.0622,7.5920,12.0020,16.8668,31.6338,62.2315,134.1485,258.2362,507.4020,996.4015
L1_0_PINGPONG_11,1.4519,1.4462,1.4565,1.4315,1.4312,1.5249,2.3150,2.3433,2.8060,2.9891,3.3365,4.6556,6.0957,7.7037,12.1476,17.9778,34.7916,70.4450,146.4905,305.7985,538.9804,1100.7322
L1_0_PINGPONG_12,1.4513,1.4565,1.4616,1.4413,1.4418,1.5116,2.3339,2.3665,2.7897,2.9217,3.2869,4.6399,6.1323,7.7097,12.2874,19.7232,38.6561,78.1852,165.9242,321.3086,644.3998,1131.3073
L1_0_PINGPONG_13,1.4483,1.4424,1.4480,1.4251,1.4300,1.5381,2.3098,2.3461,2.7499,2.8829,3.2515,4.6343,6.1339,7.7532,12.7248,21.2818,41.7369,84.1726,188.3227,338.2814,631.0133,1435.3622
L1_0_PINGPONG_14,1.4368,1.4374,1.4350,1.4227,1.4357,1.5111,2.3329,2.3594,2.8118,2.9188,3.2759,4.6782,6.1632,7.7830,13.1701,22.6100,45.0772,91.2461,179.1028,355.0407,659.8374,1269.3660
L1_0_PINGPONG_15,1.4308,1.4406,1.4409,1.4316,1.4283,1.5108,2.3336,2.3479,2.7462,2.8876,3.2925,4.6602,6.1730,7.8725,13.7947,24.6938,48.3166,95.8353,187.9391,355.4479,676.6108,1395.3036
L1_0_PINGPONG_16,1.4520,1.4362,1.4492,1.4264,1.4222,1.5105,2.3487,2.3486,2.7892,2.9142,3.2783,4.6815,6.1612,7.9138,13.9282,26.5111,52.3812,103.6451,200.4495,390.5201,729.8867,1456.4227
L1_0_PINGPONG_17,1.4512,1.4423,1.4370,1.5423,1.4369,1.5093,2.3314,2.3431,2.9465,3.0791,3.4665,4.6996,6.2422,7.9660,15.6111,28.8303,56.3580,108.0830,211.6559,404.4639,768.0395,1529.6756
L1_0_PINGPONG_18,1.4517,1.4326,1.4291,1.4225,1.4241,1.4965,2.3303,2.3498,2.9876,4.2546,5.7233,4.6149,6.2248,8.1010,16.9406,30.9920,60.4415,121.8997,236.3180,430.5622,813.4961,1620.0988
L1_0_PINGPONG_19,1.4515,2.0569,1.4268,1.4291,2.1359,1.5073,2.3335,2.3664,3.1150,3.2779,3.7142,5.4357,6.3162,8.2846,18.7398,33.6163,66.4113,134.1049,259.2554,455.8956,853.0875,1716.5318
L1_0_PINGPONG_20,2.1951,1.4423,3.6760,1.4278,1.4390,1.5203,4.1034,3.5306,2.9468,4.8705,5.5375,4.6589,7.6581,8.3164,19.1422,37.2319,76.3647,150.4023,270.9875,473.5199,926.1199,1799.5922
L1_0_PINGPONG_21,1.4571,1.4574,1.4432,1.4334,1.4396,1.5294,2.3455,4.3787,2.9978,3.1189,3.5350,4.7625,6.4456,8.3654,20.9215,39.7952,78.6812,156.9349,286.8868,497.5241,958.7198,1863.6061
L1_0_PINGPONG_22,1.4274,3.5778,1.4260,1.4345,1.4279,1.5238,2.3633,2.3708,3.2567,3.3818,3.8035,4.6698,6.4496,8.4155,22.8447,41.6947,82.1694,159.7659,304.9934,519.6900,992.0311,1971.7212
